id,level,domain,question,serialized_table,prompt,answer,table_json,evidence_json,operation
A-L1-0001,1,race,"According to the race table, what is David's Fuel remaining?","| Fuel remaining | Lap time | Top speed | Driver | Position |
| --- | --- | --- | --- | --- |
| 34.7 L | 115.86 s | 281.0 km/h | Julia | 18 |
| 14.1 L | 90.92 s | 208.7 km/h | Yuna | 9 |
| 49.0 L | 73.58 s | 185.4 km/h | David | 17 |
| 61.2 L | 78.65 s | 260.9 km/h | Oliver | 1 |","Answer the question using the table. Return only the requested value.

Table:
| Fuel remaining | Lap time | Top speed | Driver | Position |
| --- | --- | --- | --- | --- |
| 34.7 L | 115.86 s | 281.0 km/h | Julia | 18 |
| 14.1 L | 90.92 s | 208.7 km/h | Yuna | 9 |
| 49.0 L | 73.58 s | 185.4 km/h | David | 17 |
| 61.2 L | 78.65 s | 260.9 km/h | Oliver | 1 |

Question: According to the race table, what is David's Fuel remaining?",49.0 L,"{""headers"": [""Fuel remaining"", ""Lap time"", ""Top speed"", ""Driver"", ""Position""], ""rows"": [[""34.7 L"", ""115.86 s"", ""281.0 km/h"", ""Julia"", ""18""], [""14.1 L"", ""90.92 s"", ""208.7 km/h"", ""Yuna"", ""9""], [""49.0 L"", ""73.58 s"", ""185.4 km/h"", ""David"", ""17""], [""61.2 L"", ""78.65 s"", ""260.9 km/h"", ""Oliver"", ""1""]]}","{""row_index"": 2, ""column_index"": 0, ""row_identifier_column"": ""Driver"", ""row_identifier_value"": ""David"", ""target_column"": ""Fuel remaining""}",lookup
A-L1-0002,1,sports,"In the table, what Possession do the Knights have?","| Possession | Team | Goals scored | Goals conceded | Losses | Points | Wins |
| --- | --- | --- | --- | --- | --- | --- |
| 54.4% | Tigers | 87 | 94 | 2 | 97 | 8 |
| 69.4% | Knights | 103 | 89 | 9 | 39 | 1 |
| 38.4% | Ravens | 52 | 51 | 11 | 30 | 26 |
| 48.1% | Panthers | 53 | 34 | 8 | 22 | 27 |","Answer the question using the table. Return only the requested value.

Table:
| Possession | Team | Goals scored | Goals conceded | Losses | Points | Wins |
| --- | --- | --- | --- | --- | --- | --- |
| 54.4% | Tigers | 87 | 94 | 2 | 97 | 8 |
| 69.4% | Knights | 103 | 89 | 9 | 39 | 1 |
| 38.4% | Ravens | 52 | 51 | 11 | 30 | 26 |
| 48.1% | Panthers | 53 | 34 | 8 | 22 | 27 |

Question: In the table, what Possession do the Knights have?",69.4%,"{""headers"": [""Possession"", ""Team"", ""Goals scored"", ""Goals conceded"", ""Losses"", ""Points"", ""Wins""], ""rows"": [[""54.4%"", ""Tigers"", ""87"", ""94"", ""2"", ""97"", ""8""], [""69.4%"", ""Knights"", ""103"", ""89"", ""9"", ""39"", ""1""], [""38.4%"", ""Ravens"", ""52"", ""51"", ""11"", ""30"", ""26""], [""48.1%"", ""Panthers"", ""53"", ""34"", ""8"", ""22"", ""27""]]}","{""row_index"": 1, ""column_index"": 0, ""row_identifier_column"": ""Team"", ""row_identifier_value"": ""Knights"", ""target_column"": ""Possession""}",lookup
A-L1-0003,1,sports,"In the table, what Possession do the Hawks have?","| Possession | Losses | Wins | Team | Points | Goals conceded |
| --- | --- | --- | --- | --- | --- |
| 47.1% | 8 | 17 | Falcons | 84 | 79 |
| 69.9% | 11 | 12 | Dragons | 38 | 22 |
| 60.2% | 15 | 16 | Hawks | 21 | 115 |
| 39.9% | 8 | 4 | Comets | 27 | 76 |","Answer the question using the table. Return only the requested value.

Table:
| Possession | Losses | Wins | Team | Points | Goals conceded |
| --- | --- | --- | --- | --- | --- |
| 47.1% | 8 | 17 | Falcons | 84 | 79 |
| 69.9% | 11 | 12 | Dragons | 38 | 22 |
| 60.2% | 15 | 16 | Hawks | 21 | 115 |
| 39.9% | 8 | 4 | Comets | 27 | 76 |

Question: In the table, what Possession do the Hawks have?",60.2%,"{""headers"": [""Possession"", ""Losses"", ""Wins"", ""Team"", ""Points"", ""Goals conceded""], ""rows"": [[""47.1%"", ""8"", ""17"", ""Falcons"", ""84"", ""79""], [""69.9%"", ""11"", ""12"", ""Dragons"", ""38"", ""22""], [""60.2%"", ""15"", ""16"", ""Hawks"", ""21"", ""115""], [""39.9%"", ""8"", ""4"", ""Comets"", ""27"", ""76""]]}","{""row_index"": 2, ""column_index"": 0, ""row_identifier_column"": ""Team"", ""row_identifier_value"": ""Hawks"", ""target_column"": ""Possession""}",lookup
A-L1-0004,1,weather,"According to the weather table, what is the Pressure at Lakeside?","| Station | Humidity | Pressure | Wind speed |
| --- | --- | --- | --- |
| Maple | 88% | 936.4 hPa | 10.8 m/s |
| Clearwater | 59% | 1015.6 hPa | 18.9 m/s |
| Orion | 68% | 962.8 hPa | 30.5 m/s |
| Brookfield | 84% | 1026.7 hPa | 32.5 m/s |
| Cedar | 78% | 946.8 hPa | 21.3 m/s |
| Hillcrest | 17% | 965.7 hPa | 0.0 m/s |
| Lakeside | 37% | 1026.3 hPa | 33.4 m/s |
| Oakridge | 91% | 949.7 hPa | 17.5 m/s |","Answer the question using the table. Return only the requested value.

Table:
| Station | Humidity | Pressure | Wind speed |
| --- | --- | --- | --- |
| Maple | 88% | 936.4 hPa | 10.8 m/s |
| Clearwater | 59% | 1015.6 hPa | 18.9 m/s |
| Orion | 68% | 962.8 hPa | 30.5 m/s |
| Brookfield | 84% | 1026.7 hPa | 32.5 m/s |
| Cedar | 78% | 946.8 hPa | 21.3 m/s |
| Hillcrest | 17% | 965.7 hPa | 0.0 m/s |
| Lakeside | 37% | 1026.3 hPa | 33.4 m/s |
| Oakridge | 91% | 949.7 hPa | 17.5 m/s |

Question: According to the weather table, what is the Pressure at Lakeside?",1026.3 hPa,"{""headers"": [""Station"", ""Humidity"", ""Pressure"", ""Wind speed""], ""rows"": [[""Maple"", ""88%"", ""936.4 hPa"", ""10.8 m/s""], [""Clearwater"", ""59%"", ""1015.6 hPa"", ""18.9 m/s""], [""Orion"", ""68%"", ""962.8 hPa"", ""30.5 m/s""], [""Brookfield"", ""84%"", ""1026.7 hPa"", ""32.5 m/s""], [""Cedar"", ""78%"", ""946.8 hPa"", ""21.3 m/s""], [""Hillcrest"", ""17%"", ""965.7 hPa"", ""0.0 m/s""], [""Lakeside"", ""37%"", ""1026.3 hPa"", ""33.4 m/s""], [""Oakridge"", ""91%"", ""949.7 hPa"", ""17.5 m/s""]]}","{""row_index"": 6, ""column_index"": 2, ""row_identifier_column"": ""Station"", ""row_identifier_value"": ""Lakeside"", ""target_column"": ""Pressure""}",lookup
A-L1-0005,1,ml_experiments,Look up model Aurora. What is its F1 score?,"| Recall | Model | Precision | F1 score | Memory | Latency |
| --- | --- | --- | --- | --- | --- |
| 78.0% | Vertex | 90.5% | 95.8% | 7.8 GB | 142.1 ms |
| 83.0% | Nimbus | 72.7% | 85.7% | 15.8 GB | 21.3 ms |
| 54.7% | Zenith | 75.5% | 59.3% | 7.2 GB | 78.5 ms |
| 80.9% | Aurora | 92.8% | 53.5% | 4.0 GB | 163.4 ms |
| 66.6% | Sigma | 64.7% | 61.0% | 9.6 GB | 44.5 ms |
| 61.7% | Quartz | 60.8% | 53.5% | 10.9 GB | 41.7 ms |","Answer the question using the table. Return only the requested value.

Table:
| Recall | Model | Precision | F1 score | Memory | Latency |
| --- | --- | --- | --- | --- | --- |
| 78.0% | Vertex | 90.5% | 95.8% | 7.8 GB | 142.1 ms |
| 83.0% | Nimbus | 72.7% | 85.7% | 15.8 GB | 21.3 ms |
| 54.7% | Zenith | 75.5% | 59.3% | 7.2 GB | 78.5 ms |
| 80.9% | Aurora | 92.8% | 53.5% | 4.0 GB | 163.4 ms |
| 66.6% | Sigma | 64.7% | 61.0% | 9.6 GB | 44.5 ms |
| 61.7% | Quartz | 60.8% | 53.5% | 10.9 GB | 41.7 ms |

Question: Look up model Aurora. What is its F1 score?",53.5%,"{""headers"": [""Recall"", ""Model"", ""Precision"", ""F1 score"", ""Memory"", ""Latency""], ""rows"": [[""78.0%"", ""Vertex"", ""90.5%"", ""95.8%"", ""7.8 GB"", ""142.1 ms""], [""83.0%"", ""Nimbus"", ""72.7%"", ""85.7%"", ""15.8 GB"", ""21.3 ms""], [""54.7%"", ""Zenith"", ""75.5%"", ""59.3%"", ""7.2 GB"", ""78.5 ms""], [""80.9%"", ""Aurora"", ""92.8%"", ""53.5%"", ""4.0 GB"", ""163.4 ms""], [""66.6%"", ""Sigma"", ""64.7%"", ""61.0%"", ""9.6 GB"", ""44.5 ms""], [""61.7%"", ""Quartz"", ""60.8%"", ""53.5%"", ""10.9 GB"", ""41.7 ms""]]}","{""row_index"": 3, ""column_index"": 3, ""row_identifier_column"": ""Model"", ""row_identifier_value"": ""Aurora"", ""target_column"": ""F1 score""}",lookup
A-L1-0006,1,weather,"According to the weather table, what is the Humidity at Clearwater?","| Temperature | Rainfall | Station | Humidity |
| --- | --- | --- | --- |
| 20.1 °C | 16.1 mm | Orion | 55% |
| 21.9 °C | 66.6 mm | Clearwater | 76% |
| 34.1 °C | 24.2 mm | Oakridge | 80% |
| 10.5 °C | 76.7 mm | Cedar | 87% |
| -6.3 °C | 33.2 mm | Fairview | 15% |","Answer the question using the table. Return only the requested value.

Table:
| Temperature | Rainfall | Station | Humidity |
| --- | --- | --- | --- |
| 20.1 °C | 16.1 mm | Orion | 55% |
| 21.9 °C | 66.6 mm | Clearwater | 76% |
| 34.1 °C | 24.2 mm | Oakridge | 80% |
| 10.5 °C | 76.7 mm | Cedar | 87% |
| -6.3 °C | 33.2 mm | Fairview | 15% |

Question: According to the weather table, what is the Humidity at Clearwater?",76%,"{""headers"": [""Temperature"", ""Rainfall"", ""Station"", ""Humidity""], ""rows"": [[""20.1 °C"", ""16.1 mm"", ""Orion"", ""55%""], [""21.9 °C"", ""66.6 mm"", ""Clearwater"", ""76%""], [""34.1 °C"", ""24.2 mm"", ""Oakridge"", ""80%""], [""10.5 °C"", ""76.7 mm"", ""Cedar"", ""87%""], [""-6.3 °C"", ""33.2 mm"", ""Fairview"", ""15%""]]}","{""row_index"": 1, ""column_index"": 3, ""row_identifier_column"": ""Station"", ""row_identifier_value"": ""Clearwater"", ""target_column"": ""Humidity""}",lookup
A-L1-0007,1,weather,"According to the weather table, what is the Visibility at Clearwater?","| Pressure | Visibility | Humidity | Station |
| --- | --- | --- | --- |
| 939.0 hPa | 17.6 km | 18% | Oakridge |
| 1032.9 hPa | 14.0 km | 92% | Cedar |
| 991.9 hPa | 0.8 km | 67% | Hillcrest |
| 937.6 hPa | 4.4 km | 44% | Pinehurst |
| 964.8 hPa | 19.9 km | 62% | Maple |
| 985.6 hPa | 3.4 km | 60% | Fairview |
| 964.6 hPa | 8.2 km | 71% | Orion |
| 1001.0 hPa | 8.3 km | 26% | Clearwater |","Answer the question using the table. Return only the requested value.

Table:
| Pressure | Visibility | Humidity | Station |
| --- | --- | --- | --- |
| 939.0 hPa | 17.6 km | 18% | Oakridge |
| 1032.9 hPa | 14.0 km | 92% | Cedar |
| 991.9 hPa | 0.8 km | 67% | Hillcrest |
| 937.6 hPa | 4.4 km | 44% | Pinehurst |
| 964.8 hPa | 19.9 km | 62% | Maple |
| 985.6 hPa | 3.4 km | 60% | Fairview |
| 964.6 hPa | 8.2 km | 71% | Orion |
| 1001.0 hPa | 8.3 km | 26% | Clearwater |

Question: According to the weather table, what is the Visibility at Clearwater?",8.3 km,"{""headers"": [""Pressure"", ""Visibility"", ""Humidity"", ""Station""], ""rows"": [[""939.0 hPa"", ""17.6 km"", ""18%"", ""Oakridge""], [""1032.9 hPa"", ""14.0 km"", ""92%"", ""Cedar""], [""991.9 hPa"", ""0.8 km"", ""67%"", ""Hillcrest""], [""937.6 hPa"", ""4.4 km"", ""44%"", ""Pinehurst""], [""964.8 hPa"", ""19.9 km"", ""62%"", ""Maple""], [""985.6 hPa"", ""3.4 km"", ""60%"", ""Fairview""], [""964.6 hPa"", ""8.2 km"", ""71%"", ""Orion""], [""1001.0 hPa"", ""8.3 km"", ""26%"", ""Clearwater""]]}","{""row_index"": 7, ""column_index"": 1, ""row_identifier_column"": ""Station"", ""row_identifier_value"": ""Clearwater"", ""target_column"": ""Visibility""}",lookup
A-L1-0008,1,skydiving,Find Julia. What Elapsed time is listed?,"| Heart rate | Air temperature | Falling speed | Elapsed time | Person | Air pressure |
| --- | --- | --- | --- | --- | --- |
| 84 bpm | 7.2 °C | 45.0 m/s | 9.0 s | Sofia | 98.4 kPa |
| 74 bpm | 14.5 °C | 33.9 m/s | 67.2 s | Maya | 49.5 kPa |
| 108 bpm | -10.2 °C | 27.5 m/s | 43.7 s | Ethan | 94.6 kPa |
| 129 bpm | -34.8 °C | 67.3 m/s | 44.8 s | Julia | 28.9 kPa |
| 75 bpm | -13.2 °C | 79.5 m/s | 27.6 s | Oliver | 70.7 kPa |","Answer the question using the table. Return only the requested value.

Table:
| Heart rate | Air temperature | Falling speed | Elapsed time | Person | Air pressure |
| --- | --- | --- | --- | --- | --- |
| 84 bpm | 7.2 °C | 45.0 m/s | 9.0 s | Sofia | 98.4 kPa |
| 74 bpm | 14.5 °C | 33.9 m/s | 67.2 s | Maya | 49.5 kPa |
| 108 bpm | -10.2 °C | 27.5 m/s | 43.7 s | Ethan | 94.6 kPa |
| 129 bpm | -34.8 °C | 67.3 m/s | 44.8 s | Julia | 28.9 kPa |
| 75 bpm | -13.2 °C | 79.5 m/s | 27.6 s | Oliver | 70.7 kPa |

Question: Find Julia. What Elapsed time is listed?",44.8 s,"{""headers"": [""Heart rate"", ""Air temperature"", ""Falling speed"", ""Elapsed time"", ""Person"", ""Air pressure""], ""rows"": [[""84 bpm"", ""7.2 °C"", ""45.0 m/s"", ""9.0 s"", ""Sofia"", ""98.4 kPa""], [""74 bpm"", ""14.5 °C"", ""33.9 m/s"", ""67.2 s"", ""Maya"", ""49.5 kPa""], [""108 bpm"", ""-10.2 °C"", ""27.5 m/s"", ""43.7 s"", ""Ethan"", ""94.6 kPa""], [""129 bpm"", ""-34.8 °C"", ""67.3 m/s"", ""44.8 s"", ""Julia"", ""28.9 kPa""], [""75 bpm"", ""-13.2 °C"", ""79.5 m/s"", ""27.6 s"", ""Oliver"", ""70.7 kPa""]]}","{""row_index"": 3, ""column_index"": 3, ""row_identifier_column"": ""Person"", ""row_identifier_value"": ""Julia"", ""target_column"": ""Elapsed time""}",lookup
A-L1-0009,1,race,"According to the race table, what is Yuna's Lap time?","| Top speed | Driver | Pit time | Tire temperature | Lap time | Fuel remaining |
| --- | --- | --- | --- | --- | --- |
| 221.0 km/h | Hana | 14.77 s | 119.7 °C | 71.42 s | 3.8 L |
| 220.0 km/h | Yuna | 13.73 s | 124.4 °C | 94.13 s | 65.7 L |
| 353.3 km/h | Julia | 19.56 s | 73.4 °C | 64.21 s | 22.7 L |
| 276.5 km/h | David | 43.67 s | 133.6 °C | 64.80 s | 75.3 L |
| 354.0 km/h | Ava | 17.99 s | 124.8 °C | 109.53 s | 23.8 L |","Answer the question using the table. Return only the requested value.

Table:
| Top speed | Driver | Pit time | Tire temperature | Lap time | Fuel remaining |
| --- | --- | --- | --- | --- | --- |
| 221.0 km/h | Hana | 14.77 s | 119.7 °C | 71.42 s | 3.8 L |
| 220.0 km/h | Yuna | 13.73 s | 124.4 °C | 94.13 s | 65.7 L |
| 353.3 km/h | Julia | 19.56 s | 73.4 °C | 64.21 s | 22.7 L |
| 276.5 km/h | David | 43.67 s | 133.6 °C | 64.80 s | 75.3 L |
| 354.0 km/h | Ava | 17.99 s | 124.8 °C | 109.53 s | 23.8 L |

Question: According to the race table, what is Yuna's Lap time?",94.13 s,"{""headers"": [""Top speed"", ""Driver"", ""Pit time"", ""Tire temperature"", ""Lap time"", ""Fuel remaining""], ""rows"": [[""221.0 km/h"", ""Hana"", ""14.77 s"", ""119.7 °C"", ""71.42 s"", ""3.8 L""], [""220.0 km/h"", ""Yuna"", ""13.73 s"", ""124.4 °C"", ""94.13 s"", ""65.7 L""], [""353.3 km/h"", ""Julia"", ""19.56 s"", ""73.4 °C"", ""64.21 s"", ""22.7 L""], [""276.5 km/h"", ""David"", ""43.67 s"", ""133.6 °C"", ""64.80 s"", ""75.3 L""], [""354.0 km/h"", ""Ava"", ""17.99 s"", ""124.8 °C"", ""109.53 s"", ""23.8 L""]]}","{""row_index"": 1, ""column_index"": 4, ""row_identifier_column"": ""Driver"", ""row_identifier_value"": ""Yuna"", ""target_column"": ""Lap time""}",lookup
A-L1-0010,1,weather,What Visibility was recorded at station Riverton?,"| Rainfall | Pressure | Humidity | Visibility | Wind speed | Temperature | Station |
| --- | --- | --- | --- | --- | --- | --- |
| 59.3 mm | 991.0 hPa | 70% | 6.2 km | 11.4 m/s | 20.3 °C | Oakridge |
| 14.8 mm | 992.6 hPa | 84% | 12.5 km | 26.2 m/s | 5.1 °C | Clearwater |
| 67.5 mm | 1035.6 hPa | 70% | 22.2 km | 17.9 m/s | 20.8 °C | Brookfield |
| 66.8 mm | 996.7 hPa | 52% | 10.0 km | 7.4 m/s | 1.1 °C | Riverton |","Answer the question using the table. Return only the requested value.

Table:
| Rainfall | Pressure | Humidity | Visibility | Wind speed | Temperature | Station |
| --- | --- | --- | --- | --- | --- | --- |
| 59.3 mm | 991.0 hPa | 70% | 6.2 km | 11.4 m/s | 20.3 °C | Oakridge |
| 14.8 mm | 992.6 hPa | 84% | 12.5 km | 26.2 m/s | 5.1 °C | Clearwater |
| 67.5 mm | 1035.6 hPa | 70% | 22.2 km | 17.9 m/s | 20.8 °C | Brookfield |
| 66.8 mm | 996.7 hPa | 52% | 10.0 km | 7.4 m/s | 1.1 °C | Riverton |

Question: What Visibility was recorded at station Riverton?",10.0 km,"{""headers"": [""Rainfall"", ""Pressure"", ""Humidity"", ""Visibility"", ""Wind speed"", ""Temperature"", ""Station""], ""rows"": [[""59.3 mm"", ""991.0 hPa"", ""70%"", ""6.2 km"", ""11.4 m/s"", ""20.3 °C"", ""Oakridge""], [""14.8 mm"", ""992.6 hPa"", ""84%"", ""12.5 km"", ""26.2 m/s"", ""5.1 °C"", ""Clearwater""], [""67.5 mm"", ""1035.6 hPa"", ""70%"", ""22.2 km"", ""17.9 m/s"", ""20.8 °C"", ""Brookfield""], [""66.8 mm"", ""996.7 hPa"", ""52%"", ""10.0 km"", ""7.4 m/s"", ""1.1 °C"", ""Riverton""]]}","{""row_index"": 3, ""column_index"": 3, ""row_identifier_column"": ""Station"", ""row_identifier_value"": ""Riverton"", ""target_column"": ""Visibility""}",lookup
